wavelength;em_hp;em_at
602,3083;4895,554688;7,41E-05
603,30982;6438,875;0,00028083
604,31134;-305,8398438;7,94E-05
605,31286;3493,658203;0,000142807
606,31438;3139,494141;0,000145404
607,3159;7041,488281;0
608,31742;465,0058594;0,000113515
609,31894;1259,214844;0,00024643
610,32046;6461,001953;0,00024871
611,32198;3687,638672;0,000147368
612,3235;7358,289063;1,09E-05
613,32502;6639,986328;0,000223002
614,32654;-1155,417969;0,000121912
615,32806;6300,505859;0,000300535
616,32958;5931,705078;0,000399547
617,3311;6486,949219;0,000431767
618,33262;938,9277344;0,000470074
619,33414;10423,26953;0,000529296
620,33566;6656,382813;0,000412445
621,33718;9363,927734;0,000685861
622,3387;3649,724609;0,000653248
623,34022;5034,201172;0,000615614
624,34174;4194,853516;0,000752031
625,34326;6059,902344;0,000844669
626,34478;2403,095703;0,001117012
627,3463;3849,603516;0,000867169
628,34782;7212,525391;0,000933094
629,34934;10633,15039;0,001294797
630,35086;13118,82227;0,001585912
631,35238;7959,408203;0,001768764
632,3539;12986,19531;0,001787681
633,35542;9074,599609;0,002318797
634,35694;13190,28711;0,002253317
635,35846;13428,07422;0,00297102
636,35998;19281,20313;0,003458322
637,3615;17386,27148;0,003869541
638,36302;17634,37109;0,00449308
639,36454;12476,36914;0,004594571
640,36606;16371,00781;0,005581219
641,36758;23292,14844;0,006315059
642,3691;27496,87109;0,008493909
643,37062;27950,93359;0,009095675
644,37214;38088,8125;0,010182039
645,37366;42143;0,012757158
646,37518;45258,38281;0,014359737
647,3767;51952,02734;0,017232867
648,37822;56228,71484;0,018733626
649,37974;78541,14844;0,021232599
650,38126;78690,16406;0,024698239
651,38278;91436,46875;0,027341917
652,3843;111279,2734;0,032676001
653,38582;101353,4609;0,035457948
654,38734;124411,1484;0,041100244
655,38886;114402,375;0,045542098
656,39038;165209,0781;0,051096596
657,3919;171859,1563;0,056545126
658,39342;203124,7344;0,064910949
659,39494;232376,2813;0,073147129
660,39646;247486;0,083395994
661,39798;287277,3125;0,095607231
662,3995;311921,875;0,110809316
663,40102;372747,25;0,125100228
664,40254;391947,25;0,144235159
665,40406;467023,5625;0,164920347
666,40558;531783,8125;0,187128341
667,4071;618913,375;0,218381499
668,40862;666557,25;0,247936544
669,41014;754333,6875;0,283526696
670,41166;836539,5625;0,318285752
671,41318;936807,5625;0,362905549
672,4147;1024229,125;0,403795489
673,41622;1157897,125;0,447350235
674,41774;1298041;0,501576806
675,41926;1420842,75;0,555666682
676,42078;1563238;0,610236289
677,4223;1738062,125;0,675257321
678,42382;1922937,625;0,7310208
679,42534;2199318;0,802464223
680,42686;2307120,25;0,867010636
681,42838;2497792,25;0,917043729
682,4299;2573936;0,963067734
683,43142;2729937;0,988841188
684,43294;2737881,25;1
685,43446;2748197,25;0,992125866
686,43598;2704973,25;0,955394055
687,4375;2548223,5;0,910703126
688,43902;2384078,75;0,856048445
689,44054;2304010;0,796044479
690,44206;1998399;0,724008136
691,44358;1867575,125;0,656183435
692,4451;1738683,125;0,598938775
693,44662;1600378,5;0,534458997
694,44814;1379878,75;0,492987434
695,44966;1295139,5;0,444093718
696,45118;1200363,125;0,409804512
697,4527;1143464,375;0,377319144
698,45422;1007100,125;0,348419797
699,45574;978083,625;0,323414113
700,45726;864884,25;0,309600558
701,45878;843496,125;0,287291378
702,4603;744425,3125;0,273890302
703,46182;778872,3125;0,260317023
704,46334;721993,25;0,24700303
705,46486;681028,75;0,237660768
706,46638;585929,6875;0,227818739
707,4679;617284,5;0,219629159
708,46942;606208,75;0,210693533
709,47094;582610,8125;0,205947666
710,47246;571719,8125;0,20015797
711,47398;525346,625;0,20001516
712,4755;595109,125;0,195588572
713,47702;538099,0625;0,191102218
714,47854;491787,8125;0,188742486
715,48006;526877,4375;0,186986227
716,48158;505876,4375;0,185682201
717,4831;518865,9688;0,184799793
718,48462;486506,5938;0,190859112
719,48614;511864,4688;0,184988963
720,48766;507689,4375;0,184695846
721,48918;489743,4375;0,181963023
722,4907;486768,125;0,182455042
723,49222;511012,25;0,181403878
724,49374;501803,7813;0,184502295
725,49526;491292,8125;0,183837514
726,49678;504405,7813;0,183355273
727,4983;486371,0313;0,185101924
728,49982;487808,3438;0,186646454
729,50134;552858,5;0,187245193
730,50286;554980,875;0,187511131
731,50438;524880,4375;0,187729853
732,5059;591302,25;0,19013566
733,50742;560104,375;0,187673407
734,50894;507173,0938;0,191346898
735,51046;484955,4688;0,191794452
736,51198;460859,9688;0,190203664
737,5135;540318,5625;0,196933561
738,51502;552193,75;0,190513086
739,51654;587049,1875;0,193101034
740,51806;515939,2813;0,1892958
741,51958;586002,75;0,187804898
742,5211;516177,375;0,190010068
743,52262;526781,75;0,190174386
744,52414;552738,625;0,188054793
745,52566;481116,8125;0,183629688
746,52718;523797,125;0,181829615
747,5287;530047,6875;0,174133149
748,53022;541902,75;0,172907671
749,53174;511877,8125;0,168171159
750,53326;460357,3438;0,161508263
751,53478;490674;0,156380028
752,5363;440014,9063;0,153038973
753,53782;468610,0625;0,146744056
754,53934;422826,1875;0,144177126
755,54086;357746,625;0,143133401
756,54238;366161,0938;0,134839611
757,5439;325812,25;0,131870597
758,54542;360988,9375;0,122303691
759,54694;266878,875;0,120028999
760,54846;394798,8125;0,118352441
761,54998;293465,2813;0,111719394
762,5515;350846,875;0,10984002
763,55302;327762,4688;0,101933241
764,55454;248313,0156;0,104341615
765,55606;246823,1719;0,096761305
766,55758;322587,875;0,090379619
767,5591;248013,1563;0,087405784
768,56062;217842,4688;0,081937519
769,56214;207229,8594;0,080759912
770,56366;207835,8438;0,075055439
771,56518;183720,8438;0,071178983
772,5667;160588,75;0,069159201
773,56822;157645,9375;0,063764058
774,56974;166844,4219;0,060670142
775,57126;230667,3125;0,063002136
776,57278;175740,9219;0,057549515
777,5743;93989,40625;0,05481781
778,57582;150085,3906;0,055072417
779,57734;113467,125;0,051478592
780,57886;145169,4219;0,049729271
781,58038;144697,4531;0,048143538
782,5819;139903,3281;0,047963023
783,58342;124257,2578;0,047141032
784,58494;163316,5469;0,044864403
785,58646;106582,0703;0,044839318
786,58798;101648,3203;0,041748101
787,5895;111489,2813;0,040828401
788,59102;94380,21875;0,039602161
789,59254;89468,17188;0,036853624
790,59406;151909,0781;0,039981676
791,59558;154188,7188;0,036851225
792,5971;41692,71094;0,036376746
793,59862;109656,6172;0,036413033
794,60014;149768,0938;0,034474274
795,60166;33467,51563;0,03585464
796,60318;116498,625;0,035482231
797,6047;74097,29688;0,035817512
798,60622;129251,125;0,032221279
799,60774;55303,33203;0,034860467
800,60926;86714,00781;0,032163489
801,61078;154554,0781;0,03009614
802,6123;57231,0625;0,031921139
803,61382;;0,028598004
804,61534;;0,030593488
805,61686;;0,031059329
806,61838;;0,02721222
807,6199;;0,029027837
808,62142;;0,029179282
809,62294;;0,026252032
810,62446;;0,027647434
811,62598;;0,02739759
812,6275;;0,02684595
813,62902;;0,027470034
814,63054;;0,028396545
815,63206;;0,026857292
816,63358;;0,025500108
817,6351;;0,024162567
818,63662;;0,025680506
819,63814;;0,024661379
820,63966;;0,023070828
821,64118;;0,023958368
822,6427;;0,024329507
823,64422;;0,022469388
824,64574;;0,023670094
825,64726;;0,02462035
826,64878;;0,021379638
827,6503;;0,020071368
828,65182;;0,019484057
829,65334;;0,022515977
830,65486;;0,019620457
831,65638;;0,019849501
832,6579;;0,020672742
833,65942;;0,01957706
834,66094;;0,02079441
835,66246;;0,020341744
836,66398;;0,01530804
837,6655;;0,020985542
838,66702;;0,018790034
839,66854;;0,020052701
840,67006;;0,019466663
841,67158;;0,016669243
842,6731;;0,013658858
843,67462;;0,015234608
844,67614;;0,014788725
845,67766;;0,018723142
846,67918;;0,019705129
847,6807;;0,018259066
848,68222;;0,014274494
849,68374;;0,021193858
850,68526;;0,021730891
851,68678;;0,016584253
852,6883;;0,020895367
